FID_Ottawa,addr_city,addr_house,addr_postc,addr_stree,Title,phone,shoptype,website,FID_Otta_1,flag,ONS_ID,NeighName,POPEST,Address,Longitude,Latitude
384,Metcalfe,8196,K0A 2P0,Victoria Street,Metcalfe Variety,16138213440,Convenience stores and gas stations,Not Available,93,1,66,Metcalfe,5240,"8196 Victoria Street, Metcalfe,K0A 2P0",-75.47443005,45.23496793
325,Nepean,3812,K2J 7B8,Greenbank Road,That Corner Store,-5106,Convenience stores and gas stations,http://www.thatcornerstore.ca/,81,0,952,Stonebridge - Half Moon Bay - Heart's Desire,9464,"3812 Greenbank Road, Nepean,K2J 7B8",-75.73027193,45.24285232
125,Ottawa,1618,K2S 1P1,Stittsville Main Street,Ultramar,-4992,Convenience stores and gas stations,https://www.ultramar.ca/?utm_source=G&utm_medium=lpm&utm_campaign=parkland,80,0,951,Stittsville,26674,"1618 Stittsville Main Street, Ottawa,K2S 1P1",-75.9166614,45.25439702
402,Manotick,1004,K4M 1B2,Manotick Station Rd,Bakker's General Store,+1(613) 822-1659,Independent and specialty stores,https://www.facebook.com/bakkersgeneralstore/,91,1,64,Manotick,9040,"1004 Manotick Station Rd, Manotick,K4M 1B2",-75.6246678,45.25576653
313,Greely,6045,K4P 0G5,Bank Street,Foodland,16138213016,Supermarkets and traditional formats,https://foodland.ca/stores/foodland-greely/?utm_source=G&utm_medium=lpm&utm_campaign=Sobeys,95,0,925,Greely,8829,"6045 Bank Street, Greely,K4P 0G5",-75.55471798,45.26336303
127,Stittsville,1,K2S 1B2,Hobin Street,Circle K,-3108,Convenience stores and gas stations,https://www.circlek.com/store-locator/CA/stittsville/1-hobin-st-unit1po-box-1026/0868024,80,0,951,Stittsville,26674,"1 Hobin Street, Stittsville,K2S 1B2",-75.9289376,45.26494442
471,Stittsville,1300,K2S 1A3,Stittsville Main Street,Shoppers Drug Mart,-2344,Drugstores,https://www.shoppersdrugmart.ca/en/store-locator/store/1246,80,0,951,Stittsville,26674,"1300 Stittsville Main Street, Stittsville,K2S 1A3",-75.9299135,45.26522092
85,Greely,1341,K4P 1N3,Meadow Drive,Greely Convenience Store,16135744000,Convenience stores and gas stations,Not Available,95,0,925,Greely,8829,"1341 Meadow Drive, Greely,K4P 1N3",-75.56219428,45.26545284
53,Ottawa,6315,K2S 1S9,Hazeldean Road,Farm Boy,-6042,Supermarkets and traditional formats,https://www.farmboy.ca/stores/stittsville/,80,0,951,Stittsville,26674,"6315 Hazeldean Road, Ottawa,K2S 1S9",-75.94168831,45.26643932
119,Ottawa,3201,K2J 4H9,Greenbank Road,Loblaws,-2249,Supermarkets and traditional formats,https://www.loblaws.ca/store-locator/details/1035,111,0,914,Chapman Mills,8212,"3201 Greenbank Road, Ottawa,K2J 4H9",-75.74336654,45.26807393
147,Nepean,3777,K2J 4B1,Strandherd Drive,Your Independent Grocer,-10868,Supermarkets and traditional formats,https://www.yourindependentgrocer.ca/store-locator/details/7377,81,0,952,Stonebridge - Half Moon Bay - Heart's Desire,9464,"3777 Strandherd Drive, Nepean,K2J 4B1",-75.74669334,45.26808323
450,Nepean,3781,K2J 5M4,Strandherd Drive,Shoppers Drug Mart,-10588,Drugstores,https://www.shoppersdrugmart.ca/en/store-locator/store/643,81,0,952,Stonebridge - Half Moon Bay - Heart's Desire,9464,"3781 Strandherd Drive, Nepean,K2J 5M4",-75.75115384,45.26822303
97,Nepean,4315,K2J 5P8,Strandherd Drive,Costco,-2239,Mass merchandisers / club stores,https://www.costco.ca/warehouse-locations/nepean-ON-1263.html?utm_term=KW&utm_campaign=Homepage&utm_medium=GMB&utm_source=Google&utm_content=Link,81,0,952,Stonebridge - Half Moon Bay - Heart's Desire,9464,"4315 Strandherd Drive, Nepean,K2J 5P8",-75.78438275,45.26829702
144,Ottawa,4564,K2P 1Z6,Fallowfield Rd,MacEwen,16138382768,Convenience stores and gas stations,https://macewen.ca/,82,0,944,Richmond,7669,"4564 Fallowfield Rd, Ottawa,K2P 1Z6",-75.80179766,45.26895242
129,Stittsville,1251,K2S 2E5,Stittsville Main Street,Your Independent Grocer,-10711,Supermarkets and traditional formats,https://www.yourindependentgrocer.ca/store-locator/details/0405,80,0,951,Stittsville,26674,"1251 Stittsville Main Street, Stittsville,K2S 2E5",-75.9285174,45.26899802
472,Ottawa,647,K1V 2G2,Earl Armstrong Road,Shoppers Drug Mart,-8180,Drugstores,https://www.shoppersdrugmart.ca/en/store-locator/store/1161,68,0,946,Riverside South - Leitrim,10942,"647 Earl Armstrong Road, Ottawa,K1V 2G2",-75.69823722,45.26939433
124,Ottawa,685,K1V 2G2,River Road,Quickie,-11210,Convenience stores and gas stations,https://www.quickiestores.com/,68,0,946,Riverside South - Leitrim,10942,"685 River Road, Ottawa,K1V 2G2",-75.69922983,45.26954653
146,Nepean,3161,K2J 4H9,Greenbank Road,Bulk Barn,-8058,Independent and specialty stores,https://www.bulkbarn.ca/home-en/index_deals.html,111,0,914,Chapman Mills,8212,"3161 Greenbank Road, Nepean,K2J 4H9",-75.74520174,45.26955233
39,Gloucester,5546,K1X 1A8,Albion Road,C-Store,17054456645,Convenience stores and gas stations,https://macewen.ca/,95,0,925,Greely,8829,"5546 Albion Road, Gloucester,K1X 1A8",-75.59481819,45.26984973
123,Gloucester,685,K1V 2G2,River Road,Your Independent Grocer,-6183,Supermarkets and traditional formats,https://www.yourindependentgrocer.ca/store-locator/details/7179,68,0,946,Riverside South - Leitrim,10942,"685 River Road, Gloucester,K1V 2G2",-75.69742053,45.27056853
243,Kanata,907,K2M 0A8,Eagleson Rd,Circle K,-7937,Convenience stores and gas stations,https://www.circlek.com/ca/ontario/store-locator/CA/kanata/907-eagleson-road/0801748?utm_source=google&utm_medium=local&utm_campaign=google-local,63,1,13,Bridlewood - Emerald Meadows,21101,"907 Eagleson Rd, Kanata,K2M 0A8",-75.85709088,45.27057092
104,Barrhaven,3651,K2J 4G8,Strandherd Drive,Walmart Supercentre,-10149,Mass merchandisers / club stores,https://www.walmart.ca/en/stores-near-me/barrhaven-ont-3638,111,0,914,Chapman Mills,8212,"3651 Strandherd Drive, Barrhaven,K2J 4G8",-75.74075514,45.27178753
120,Ottawa,2201,K2J 4Y6,Greenbank Road,Canadian Tire Gas+,-4203,Convenience stores and gas stations,http://gasplus.canadiantire.ca/,104,0,937,Old Barrhaven East,22286,"2201 Greenbank Road, Ottawa,K2J 4Y6",-75.74670584,45.27238453
400,Stittsville,6061,K2S 1B9,Hazeldean Road,Petro-Canada & Car Wash,16138313017,Convenience stores and gas stations,https://www.petro-canada.ca/en/personal/gas-station-locations/6061-hazeldean-road-stittsville?utm_source=G&utm_medium=lpm&utm_campaign=suncor,80,0,951,Stittsville,26674,"6061 Hazeldean Road, Stittsville,K2S 1B9",-75.9309334,45.27271952
72,Kanata,5375,K2S 0T7,Fernbank Road,Bulk Barn,-4093,Independent and specialty stores,https://www.bulkbarn.ca/home-en/index_deals.html,80,0,951,Stittsville,26674,"5375 Fernbank Road, Kanata,K2S 0T7",-75.87117988,45.27350092
491,Nepean,350,K3G 4S4,Cresthaven Dr,Rexall,-3119,Drugstores,https://www.rexall.ca/storelocator/store/8192,67,0,945,Rideau Crest - Davidson Heights,14566,"350 Cresthaven Dr, Nepean,K3G 4S4",-75.7086988,45.27388048
268,Ottawa,350,K2G 4P4,Strandherd Dr.,FreshCo,-8704,Supermarkets and traditional formats,https://freshco.com/stores/freshco-strandherd-crestha/,67,0,945,Rideau Crest - Davidson Heights,14566,"350 Strandherd Dr., Ottawa,K2G 4P4",-75.70994073,45.27389553
148,Nepean,1581,K2C 3H2,Greenbank Road,Farm Boy,-3247,Supermarkets and traditional formats,https://www.farmboy.ca/stores/greenbank/,104,0,937,Old Barrhaven East,22286,"1581 Greenbank Road, Nepean,K2C 3H2",-75.74701144,45.27417733
451,Nepean,3151,K2J 5N1,Strandherd Drive,Shoppers Drug Mart,-10154,Drugstores,https://www.shoppersdrugmart.ca/en/store-locator/store/1302,111,0,914,Chapman Mills,8212,"3151 Strandherd Drive, Nepean,K2J 5N1",-75.71847033,45.27437103
121,Nepean,3201,K2J 5N1,Strandherd Drive,Metro,-10260,Supermarkets and traditional formats,https://www.metro.ca/en/find-a-grocery/276,111,0,914,Chapman Mills,8212,"3201 Strandherd Drive, Nepean,K2J 5N1",-75.72134103,45.27450833
47,Ottawa,3580,K2J 5L4,Strandherd Drive,Circle K,-9344,Convenience stores and gas stations,https://www.circlek.com/ca/ontario/store-locator?utm_source=google&utm_medium=local&utm_campaign=google-local,104,0,937,Old Barrhaven East,22286,"3580 Strandherd Drive, Ottawa,K2J 5L4",-75.73841564,45.27475873
71,Stittsville,5357,K2S 0T7,Fernbank Road,Walmart Supercentre,-4079,Mass merchandisers / club stores,https://www.walmart.ca/en/stores-near-me/kanata-south-on-1118,80,0,951,Stittsville,26674,"5357 Fernbank Road, Stittsville,K2S 0T7",-75.87233558,45.27518572
151,Nepean,2201,K2J 4J9,Jockvale Road,Quickie,-3357,Convenience stores and gas stations,https://www.quickiestores.com/,1,0,938,Old Barrhaven West,16880,"2201 Jockvale Road, Nepean,K2J 4J9",-75.77712295,45.27551643
149,Nepean,3300,K2J 4G5,Woodroffe Avenue,Petro-Canada,-10112,Convenience stores and gas stations,https://www.petro-canada.ca/en/personal/gas-station-locations/3300-woodroffe-avenue-nepean?utm_source=G&utm_medium=lpm&utm_campaign=suncor,104,0,937,Old Barrhaven East,22286,"3300 Woodroffe Avenue, Nepean,K2J 4G5",-75.71964133,45.27591103
263,Ottawa,5943,K2S 1B9,Hazeldean Road,Ultramar - Gas Station,16138319252,Convenience stores and gas stations,https://www.ultramar.ca/?utm_source=G&utm_medium=lpm&utm_campaign=parkland,80,0,951,Stittsville,26674,"5943 Hazeldean Road, Ottawa,K2S 1B9",-75.9239174,45.27606462
130,Stittsville,5899,K2S 1B9,Hazeldean Road,Waypoint Stittsville,-4217,Convenience stores and gas stations,https://waypointconvenience.com/,80,0,951,Stittsville,26674,"5899 Hazeldean Road, Stittsville,K2S 1B9",-75.9208949,45.27791002
399,Ottawa,2145,K0A 1L0,Carp Road,Shell Select,-5236,Convenience stores and gas stations,https://find.shell.com/ca/fuel/12353259-stittsville-ottawa,80,0,951,Stittsville,26674,"2145 Carp Road, Ottawa,K0A 1L0",-75.95540331,45.27920332
321,Stittsville,30,K2S 2R1,Iber Road,No Frills,18669876453,Supermarkets and traditional formats,https://www.nofrills.ca/store-locator/details/3625?utm_source=G&utm_medium=LPM&utm_campaign=Loblaws,80,0,951,Stittsville,26674,"30 Iber Road, Stittsville,K2S 2R1",-75.9127074,45.28075302
342,Kanata,800,K2M 2Z2,Stonehaven Drive,Quickie,-10279,Convenience stores and gas stations,https://www.quickiestores.com/,63,1,13,Bridlewood - Emerald Meadows,21101,"800 Stonehaven Drive, Kanata,K2M 2Z2",-75.83823997,45.28130792
316,Kanata,10,K2M 0N2,Cope Drive,Metro,-7903,Supermarkets and traditional formats,https://www.metro.ca/en/find-a-grocery/385,60,0,924,Glen Cairn - Kanata South Business Park,9152,"10 Cope Drive, Kanata,K2M 0N2",-75.86549588,45.28187792
23,Kanata,760,K2M 0A7,Eagleson Road,Real Canadian Superstore,-6916,Supermarkets and traditional formats,https://www.realcanadiansuperstore.ca/store-locator/details/2813,60,0,924,Glen Cairn - Kanata South Business Park,9152,"760 Eagleson Road, Kanata,K2M 0A7",-75.86654628,45.28277472
138,Ottawa,4184,K1V 0Z6,Spratt Road,Circle K,-4065,Convenience stores and gas stations,https://www.circlek.com/ca/ontario/store-locator/CA/ottawa/4184-spratt-road-unit-1/0801538?utm_source=google&utm_medium=local&utm_campaign=google-local,68,0,946,Riverside South - Leitrim,10942,"4184 Spratt Road, Ottawa,K1V 0Z6",-75.68553832,45.28315783
453,Kanata,5709,K2S 0P6,Hazeldean Road,Shoppers Drug Mart,-5127,Drugstores,https://www.shoppersdrugmart.ca/en/store-locator/store/1325,80,0,951,Stittsville,26674,"5709 Hazeldean Road, Kanata,K2S 0P6",-75.9119884,45.28378652
153,Ottawa,900,K2J 1S8,Greenbank Road,Food Basics,-5893,Supermarkets and traditional formats,http://www.foodbasics.ca/,1,0,938,Old Barrhaven West,16880,"900 Greenbank Road, Ottawa,K2J 1S8",-75.75624645,45.28435983
404,Nepean,3050,K2J 4G3,Woodroffe Avenue,Nasa Food Centre,+1(613) 823-8225,Independent and specialty stores,http://nasa-foodcentre.weebly.com/about-us.html,104,0,937,Old Barrhaven East,22286,"3050 Woodroffe Avenue, Nepean,K2J 4G3",-75.72429134,45.28454123
334,Ottawa,1,K2G 6A4,Rideaucrest Drive,Quickie,-5485,Convenience stores and gas stations,https://www.quickiestores.com/,67,0,945,Rideau Crest - Davidson Heights,14566,"1 Rideaucrest Drive, Ottawa,K2G 6A4",-75.72267353,45.28477753
133,Stittsville,5703,K2S 0P6,Hazeldean Road,Food Basics,+1(613) 831-3394,Supermarkets and traditional formats,http://www.foodbasics.ca/,80,0,951,Stittsville,26674,"5703 Hazeldean Road, Stittsville,K2S 0P6",-75.9135554,45.28518702
413,Nepean,605,K2J 6T7,Longfields Dr,A2Z Corner,-1266,Independent and specialty stores,Not available,104,0,937,Old Barrhaven East,22286,"605 Longfields Dr , Nepean,K2J 6T7",-75.74567564,45.28533513
152,Nepean,808,K2H 8K9,Greenbank Road,Afri Market Place,-11219,Independent and specialty stores,http://www.afrimarketplace.ca/,1,0,938,Old Barrhaven West,16880,"808 Greenbank Road, Nepean,K2H 8K9",-75.75664515,45.28680363
126,Nepean,3190,K2C 3H1,Prince Of Wales Drive,Shell Select,-2127,Convenience stores and gas stations,https://find.shell.com/ca/fuel/10053505-prince-of-wales-crestway/en_CA,67,0,945,Rideau Crest - Davidson Heights,14566,"3190 Prince Of Wales Drive, Nepean,K2C 3H1",-75.70326233,45.28686753
96,Nepean,3766,K2J 1A1,Fallowfield Road,Petro-Canada,-10202,Convenience stores and gas stations,https://www.petro-canada.ca/en/personal/gas-station-locations/3766-fallowfield-road-nepean?utm_source=G&utm_medium=lpm&utm_campaign=suncor,1,0,938,Old Barrhaven West,16880,"3766 Fallowfield Road, Nepean,K2J 1A1",-75.75719735,45.28728153
444,Kanata,680,K2M 2G9,Eagleson Road,Shoppers Drug Mart,-5806,Drugstores,https://www.shoppersdrugmart.ca/en/store-locator/store/1270,60,0,924,Glen Cairn - Kanata South Business Park,9152,"680 Eagleson Road, Kanata,K2M 2G9",-75.86844358,45.28734402
44,Nepean,3033,K2G 6H2,Woodroffe Avenue,Farm Boy,-10270,Supermarkets and traditional formats,https://www.farmboy.ca/stores/barrhaven/,67,0,945,Rideau Crest - Davidson Heights,14566,"3033 Woodroffe Avenue, Nepean,K2G 6H2",-75.72406584,45.28866053
423,Kanata,500,K2M 1H4,Eagleson Road,Ozan Turkish Market,-1205,Independent and specialty stores,https://framingfirst.com/,60,0,924,Glen Cairn - Kanata South Business Park,9152,"500 Eagleson Road, Kanata,K2M 1H4",-75.87048768,45.29114122
73,Kanata,62,K2M 2Y2,Stonehaven Drive,Circle K,-3104,Convenience stores and gas stations,https://www.circlek.com/ca/ontario/store-locator/CA/kanata/62-stonehaven-ave/0801339?utm_source=google&utm_medium=local&utm_campaign=google-local,63,1,13,Bridlewood - Emerald Meadows,21101,"62 Stonehaven Drive, Kanata,K2M 2Y2",-75.85814568,45.29133073
46,Nepean,2950,K2J 4G3,Woodroffe Avenue,Shell Select,-1671,Convenience stores and gas stations,https://find.shell.com/ca/fuel/10053259-woodroffe-longfields,104,0,937,Old Barrhaven East,22286,"2950 Woodroffe Avenue, Nepean,K2J 4G3",-75.72832014,45.29159563
398,Kanata,700,K2L 4H4,Terry Fox Drive,Sobeys,-2887,Supermarkets and traditional formats,https://www.sobeys.com/stores/sobeys-kanata/,80,0,951,Stittsville,26674,"700 Terry Fox Drive, Kanata,K2L 4H4",-75.89616019,45.29218932
430,Kanata,62,K2M 2Y2,Stonehaven Drive,Spice World Supermarket,-4112,Independent and specialty stores,https://www.facebook.com/spiceworldkanata/,63,1,13,Bridlewood - Emerald Meadows,21101,"62 Stonehaven Drive, Kanata,K2M 2Y2",-75.85797008,45.29227203
45,Nepean,2910,K2J 4G3,Woodroffe Avenue,Barrhaven Market,-7713,Independent and specialty stores,https://barrhavenmarket.ca/,104,0,937,Old Barrhaven East,22286,"2910 Woodroffe Avenue, Nepean,K2J 4G3",-75.72877154,45.29279743
286,Kanata,500,K2L 2B5,Hazeldean Road,Circle K,-3779,Convenience stores and gas stations,https://www.circlek.com/ca/ontario/store-locator/CA/kanata/500-hazeldean-rd-unit-20/0801033?utm_source=google&utm_medium=local&utm_campaign=google-local,60,0,924,Glen Cairn - Kanata South Business Park,9152,"500 Hazeldean Road, Kanata,K2L 2B5",-75.89418899,45.29294432
250,Ottawa,100,K2L 2V6,Castlefrank Road,Food Africana,16136086466,Independent and specialty stores,Not Available,60,0,924,Glen Cairn - Kanata South Business Park,9152,"100 Castlefrank Road, Ottawa,K2L 2V6",-75.88169939,45.29358292
251,Kanata,100,K2L 2V6,Castlefrank Road,Circle K,-2830,Convenience stores and gas stations,https://www.circlek.com/ca/ontario/store-locator/CA/kanata/100-castlefrank-rd/0868050?utm_source=google&utm_medium=local&utm_campaign=google-local,60,0,924,Glen Cairn - Kanata South Business Park,9152,"100 Castlefrank Road, Kanata,K2L 2V6",-75.88188949,45.29379453
401,Stittsville,225,K2S 1B9,Huntmar Drive,Ultramar - Gas Station,16138366057,Convenience stores and gas stations,https://www.ultramar.ca/en-on/service-stations/services/car-wash/?utm_source=G&utm_medium=lpm&utm_campaign=parkland,80,0,951,Stittsville,26674,"225 Huntmar Drive, Stittsville,K2S 1B9",-75.9276014,45.29404052
428,Kanata,484,K2L 1 V4,Hazeldean Road,Best Price Oriental Market,-4279,Independent and specialty stores,Not available,60,0,924,Glen Cairn - Kanata South Business Park,9152,"484 Hazeldean Road, Kanata,K2L 1 V4",-75.89022879,45.29582003
52,Ottawa,480,K2L 1V4,Hazeldean Road,Ultramar - Gas Station,16138369248,Convenience stores and gas stations,https://www.ultramar.ca/?utm_source=G&utm_medium=lpm&utm_campaign=parkland,60,0,924,Glen Cairn - Kanata South Business Park,9152,"480 Hazeldean Road, Ottawa,K2L 1V4",-75.88957369,45.29671433
136,Gloucester,5026,K1X 1G8,Bank Street,County Line,-11357,Mass merchandisers / club stores,https://macewen.ca/retail/find-a-macewen/macewen-rideau-road/,95,0,925,Greely,8829,"5026 Bank Street, Gloucester,K1X 1G8",-75.58103729,45.29699704
287,Kanata,44,K2L 1V8,Edgewater Street,Circle K,-8359,Convenience stores and gas stations,https://www.circlek.com/ca/ontario/store-locator/CA/kanata/44-edgewater-st/0852704?utm_source=google&utm_medium=local&utm_campaign=google-local,31,0,929,Katimavik - Hazeldean,11800,"44 Edgewater Street, Kanata,K2L 1V8",-75.90098529,45.29762872
422,Kanata,474,K2L 4E5,Hazeldean Road,The Indian Supermarket,-2553,Independent and specialty stores,Not available,60,0,924,Glen Cairn - Kanata South Business Park,9152,"474 Hazeldean Road, Kanata,K2L 4E5",-75.88817319,45.29769213
80,Nepean,3320,K2J 4P5,Fallowfield Road,Petro-Canada,-2994,Convenience stores and gas stations,https://www.petro-canada.ca/en/personal/gas-station-locations/3320-fallowfield-road-nepean?utm_source=G&utm_medium=lpm&utm_campaign=suncor,104,0,937,Old Barrhaven East,22286,"3320 Fallowfield Road, Nepean,K2J 4P5",-75.73174154,45.29769853
54,Ottawa,457,K2L 1V1,Hazeldean Road,Farm Boy,-9533,Supermarkets and traditional formats,https://www.farmboy.ca/stores/kanata/,31,0,929,Katimavik - Hazeldean,11800,"457 Hazeldean Road, Ottawa,K2L 1V1",-75.88803549,45.29948353
393,Kanata,457,K2L 1V1,Hazeldean Road,Bulk Barn,-6089,Independent and specialty stores,https://www.bulkbarn.ca/home-en/index_deals.html,31,0,929,Katimavik - Hazeldean,11800,"457 Hazeldean Road, Kanata,K2L 1V1",-75.88768439,45.30016793
470,Kanata,420,K2L 4B2,Hazeldean Road,Shoppers Drug Mart,-4418,Drugstores,https://www.shoppersdrugmart.ca/en/store-locator/store/952,60,0,924,Glen Cairn - Kanata South Business Park,9152,"420 Hazeldean Road, Kanata,K2L 4B2",-75.87981009,45.30177623
229,Kanata,7,K2L 1B1,Carbrooke Street,Petro-Canada,-3110,Convenience stores and gas stations,https://www.petro-canada.ca/en/personal/gas-station-locations/7-carbrooke-st-kanata?utm_source=G&utm_medium=lpm&utm_campaign=suncor,60,0,924,Glen Cairn - Kanata South Business Park,9152,"7 Carbrooke Street, Kanata,K2L 1B1",-75.87918649,45.30228333
489,Kanata,300," K2M 1C9
",Eagleson Rd,Rexall,-4310,Drugstores,https://www.rexall.ca/storelocator/store/2204?utm_source=G&utm_medium=LPM&utm_campaign=RexallPharmaPlus,60,0,924,Glen Cairn - Kanata South Business Park,9152,"300 Eagleson Rd, Kanata, K2M 1C9
",-75.87804819,45.30262659
319,Kanata,770,K2V 0A1,Silver Seven Road,Costco,-6432,Mass merchandisers / club stores,https://www.costco.ca/warehouse-locations/kanata-on-541.html,31,0,929,Katimavik - Hazeldean,11800,"770 Silver Seven Road, Kanata,K2V 0A1",-75.9131981,45.30270403
55,Kanata,401,K2L 4C6,Hazeldean Road,Circle K,-3885,Convenience stores and gas stations,https://www.circlek.com/ca/ontario/store-locator/CA/kanata/401-hazeldean-rd/0852519?utm_source=google&utm_medium=local&utm_campaign=google-local,31,0,929,Katimavik - Hazeldean,11800,"401 Hazeldean Road, Kanata,K2L 4C6",-75.87801429,45.30406583
38,Kanata,570,K2T 1L2,Terry Fox Drive,Petro-Canada,-1702,Convenience stores and gas stations,https://www.petro-canada.ca/en/personal/gas-station-locations/570-terry-fox-dr-kanata?utm_source=G&utm_medium=lpm&utm_campaign=suncor,61,0,928,Kanata Lakes - Arcardia,12576,"570 Terry Fox Drive, Kanata,K2T 1L2",-75.9156356,45.30804783
346,Kanata,500,K2T 1C3,Terry Fox Drive,Canadian Tire Gas+,-9232,Convenience stores and gas stations,http://gasplus.canadiantire.ca/,61,0,928,Kanata Lakes - Arcardia,12576,"500 Terry Fox Drive, Kanata,K2T 1C3",-75.9167318,45.30873493
25,Ottawa,200,K2T 1B6,Earl Grey Drive,Loblaws,-11145,Supermarkets and traditional formats,https://www.loblaws.ca/store-locator/details/1114,61,0,928,Kanata Lakes - Arcardia,12576,"200 Earl Grey Drive, Ottawa,K2T 1B6",-75.9164683,45.31005643
62,Kanata,501,K2T 1E8,Terry Fox Drive,Circle K,-8586,Convenience stores and gas stations,https://www.circlek.com/ca/ontario/store-locator/CA/kanata/501-terry-fox-dr/0852703?utm_source=google&utm_medium=local&utm_campaign=google-local,61,0,928,Kanata Lakes - Arcardia,12576,"501 Terry Fox Drive, Kanata,K2T 1E8",-75.9187187,45.31016323
264,Ottawa,499,K2T 1H7,Terry Fox Drive,Farm Boy,-9610,Supermarkets and traditional formats,https://www.farmboy.ca/stores/signature-centre/,61,0,928,Kanata Lakes - Arcardia,12576,"499 Terry Fox Drive, Ottawa,K2T 1H7",-75.9216277,45.31077253
463,Kanata,499,K2T 1H7,Terry Fox Drive,Shoppers Drug Mart,-10673,Drugstores,https://www.shoppersdrugmart.ca/en/store-locator/store/909,61,0,928,Kanata Lakes - Arcardia,12576,"499 Terry Fox Drive, Kanata,K2T 1H7",-75.9187804,45.31138303
323,Kanata,473,K2T 1E8,Terry Fox Drive,Shell,-6191,Convenience stores and gas stations,https://find.shell.com/ca/fuel/12786378-terry-fox-kanata,61,0,928,Kanata Lakes - Arcardia,12576,"473 Terry Fox Drive, Kanata,K2T 1E8",-75.93278061,45.31226963
51,Kanata,150, K2L 2N2,Katimavik Road,Food Basics,+1(613) 592-2942,Supermarkets and traditional formats,http://www.foodbasics.ca/,31,0,929,Katimavik - Hazeldean,11800,"150 Katimavik Road, Kanata, K2L 2N2",-75.89565679,45.31265973
56,Kanata,106,K2L 2P1,Eagleson Road,Shell Select,-6817,Convenience stores and gas stations,https://find.shell.com/ca/fuel/10052503-eagleson-rd-timm-dr,31,0,929,Katimavik - Hazeldean,11800,"106 Eagleson Road, Kanata,K2L 2P1",-75.88261119,45.31333563
49,Carp,2653,K0A 1L0,March Road,Shell Select,-3855,Convenience stores and gas stations,https://find.shell.com/ca/fuel/10052539-hwy-49-carp,99,0,911,Carp,6230,"2653 March Road, Carp,K0A 1L0",-76.05045725,45.31756452
137,Gloucester,4778,K1T 0K8,Bank Street,Canadian Tire Gas+,-8303,Convenience stores and gas stations,http://gasplus.canadiantire.ca/,105,0,921,Findlay Creek,4419,"4778 Bank Street, Gloucester,K1T 0K8",-75.5927609,45.31805594
240,Ottawa,105,K1T 0W7,Shuttleworth Dr.,Barada Mart,-3237,Independent and specialty stores,https://www.facebook.com/baradamart/,94,0,918,Edwards - Carlsbad Springs,3461,"105 Shuttleworth Dr., Ottawa,K1T 0W7",-75.5922679,45.31902674
